,sentence,intent
3022,From which the train arrives to the main entrance,42
3023,Activate the light completely.,41
3024,Painting,12
3025,Remembrance of Card Payment,50
3026,Reduce the clarity,31
3027,Play classical music.,45
3028,Add this email to my contact list,15
3029,memo,12
3030,Order clothes,54
3031,Please send an email to I am on vacation.,33
3032,What was the best-selling product in the Amazon sports category in the last three days?,12
3033,What was the price of Google?,4
3034,Include this game,51
3035,Define 10,26
3036,Call the Chinese bar and order a cake with vegetables.,16
3037,Remove all the lights.,40
3038,Defining the word hypocrisy,26
3039,The number of my contacts is Janka Page.,17
3040,What is Hibachi Grill,26
3041,Tell me what new,27
3042,What is nearby,19
3043,I like the red color at home change it,1
3044,Clothes,36
3045,Can you set me a reminder to go to my child's basketball training every Friday night?,50
3046,Remove My Meeting at the First Thirty,30
3047,Play the song you chosen.,45
3048,Add to the calendar lunch with anya on the 1st of October at 14th.,50
3049,Start the next section.,58
3050,Turn off the light in the salon.,40
3051,What are the latest information about the relations of the trump with Russia?,22
3052,How many days is my anniversary?,32
3053,What is my plan from the 12th to the 16th?,32
3054,What is infinity,26
3055,What kind of music I hear most often?,57
3056,Are there any events in Medellin?,6
3057,Clean my calendar.,30
3058,Can you tell me what the Louvre is?,26
3059,I asked you to remind me of something.,32
3060,Show e-mails from Janka from today,44
3061,Is there any unread mail in my box?,44
3062,Add to my calendar for today Jan Novak at the first afternoon,50
3063,What is the movement in the city center,11
3064,What is the step to work now,11
3065,Please book a taxi.,54
3066,Who's the song,57
3067,What Mails Are New,44
3068,New Anniversary Anniversary Anniversary Anniversary Anniversary,50
3069,What is the status of my order?,3
3070,Buy a train ticket on Thursday,2
3071,The train departs from Paris.,42
3072,You would like to know the alarm you sent.,23
3073,What will the weather be on Saturday?,13
3074,Do I need a parasol today?,13
3075,What is the time in India?,0
3076,Meeting on Tuesday,50
3077,Weather for Today,13
3078,Is there now a large traffic on the highway in Krakow,11
3079,Remove the wemo,8
3080,I want to listen to a blues.,45
3081,Where is the corridor,17
3082,Please tell me what time is.,0
3083,hej olly order me something for the output of the stone and the pavilion,16
3084,Remove the list,53
3085,Do I need a light or thick jacket?,13
3086,Change the color of light,1
3087,What alarms are set for this week?,23
3088,What is the name of the song that is flying?,57
3089,What is the weather now,13
3090,Give Your Answer,12
3091,Please play the podcast.,58
3092,How to Make a Chicken Tick,9
3093,Economy,12
3094,I have a new mail.,44
3095,Disconnect TV,8
3096,Visit to the doctor,32
3097,Tell me the messages chosen for me now from t. v. n. twenty four,22
3098,The third Friday of this month.,0
3099,Should I put a calcium today?,13
3100,How much is five by three,39
3101,Find a good pop song.,45
3102,Send an email to you tonight.,33
3103,How pilsudski died,49
3104,"I don’t hear you, repeat again.",14
3105,Create a playlist of all the songs and play randomly,45
3106,Repeat music,28
3107,What is the weather today,13
3108,Play in the warcats,51
3109,Can you tell me what the date is today?,0
3110,Compare the weather at home and in Prussia,13
3111,I will meet my dentist on Friday.,32
3112,Take the latest folk songs with four or more reviews and play them in a row.,45
3113,Set the alarm for the whole week at 10 a.m. in April.,48
3114,Remember me at eight in the morning that I have lunch in the conference room.,50
3115,How much Elton John paid for his garnitures?,49
3116,Increase the noise by one,14
3117,Tell me who invented the phone and when.,49
3118,Turn off the light in my bedroom.,40
3119,I want this event to be removed from my calendar.,30
3120,Who is,57
3121,Set the alarm for tomorrow at eight in the morning.,48
3122,Please give me a date.,0
3123,Reply to an email from Anna,33
3124,Do I have any information about chemistry?,44
3125,Write this song in my favourites.,43
3126,Lists,53
3127,What are the events in this area?,6
3128,I want to listen to the classic rock.,45
3129,The train is not delayed at 10 a.m.,42
3130,Should I see this movie?,55
3131,"I don’t want you to send this message, wait until I send it.",33
3132,Change the color of the light into blue,1
3133,I need a taxi in a half hour.,54
3134,Show me the price of the allegro stock,4
3135,Set the speaker to the maximum,14
3136,What album is this song?,57
3137,Alexa Incorporate the Wemo Nude in the Kitchen,8
3138,I want to buy a train ticket from Berlin to Warsaw,2
3139,Add the event,50
3140,Please add a hairdresser for the twenty-seventh of March at the third afternoon.,50
3141,Show me the time of today's train from the station in knowledge,42
3142,What is on my list of tasks,59
3143,I want to know the news from the Polish voice.,22
3144,Visit the dentist on Friday at 5 p.m.,50
3145,What time is in California?,0
3146,7 times 7,39
3147,What music I usually listen to?,57
3148,Get my latest podcasts from Spotify,58
3149,Add your favorite podcasts to Spotify,58
3150,Remember the meeting on Tuesday.,50
3151,I have a bit of trouble how to make it.,9
3152,Turn off one of my lights in my bathroom.,40
3153,Adjust the sound,29
3154,Show me the places where I was.,12
3155,Celebrating the twelfth birthday.,50
3156,Install My Smart Plug,24
3157,Please switch the station to the Golden Gate.,36
3158,Use this program.,36
3159,How many books the prince gave,49
3160,Tell me more about Jan Kowalski.,12
3161,Take a golden taxi to take me at 7 a.m.,54
3162,Please turn off the light.,40
3163,How many stolen bases in his career won Nick Swisher,49
3164,I had a long and hard day.,12
3165,TVN,22
3166,Compare more countries,49
3167,Can I know what the weather is there?,13
3168,Expectations,50
3169,Remind me of a hockey lesson every Sunday afternoon.,50
3170,Add the mail,15
3171,Send email to my sister.,33
3172,Undercover the light,18
3173,The train will be delayed in New York today.,42
3174,Edit the list,21
3175,What events take place in the area,6
3176,Please order me clothes.,54
3177,Add this email to my contacts.,15
3178,Play me the last podcast,58
3179,Download the application with regulations,9
3180,I have an alarm set before 6 a.m.,23
3181,I want to know the weather.,13
3182,Remove everything in my calendar.,30
3183,Please note the poor quality of the service provided in the Thai restaurant,47
3184,Send an email to Natalia on tomorrow's work party with details,33
3185,What is the coming event,32
3186,Re-invisiting to audio,20
3187,Please remove my next event from my calendar.,30
3188,"Remove the alarm on March 10th, two thousand seventeen years.",52
3189,How much is the US dollar worth today,10
3190,"What is the time in Orlando, Florida?",0
3191,Write an email to Jack.,33
3192,Give me the telephone number.,17
3193,What is the hour,0
3194,Leave a sanah,45
3195,Tell me what places I should visit when traveling around the world and what places are the most important,19
3196,What I remember today,32
3197,What are the latest news,22
3198,What is the definition of probiotics?,26
3199,Should I take my jacket tonight?,13
3200,I want to know if I got a new email.,44
3201,Alexa Give me more information about the event planned for March 30th,32
3202,Add the March event in the church to my calendar,50
3203,What are my memories this month?,32
3204,What will the weather be tomorrow?,13
3205,I want to know what time is.,0
3206,Play Children's Songs,45
3207,The price of the Russian ruble,10
3208,Are there events in the area?,6
3209,Please turn off the light on the right side.,40
3210,Movement,11
3211,How much does it cost to get a train ticket from there to Cork?,42
3212,What are the events in my neighborhood today?,6
3213,Please see if the subway has a delivery.,3
3214,Order me a taxi for the evening.,54
3215,Do you want to play Olly with me?,51
3216,What else in my calendar,32
3217,Order a place in business class for the next train to SOPOT,2
3218,I want a Cuban cowboy show in the radio in the kitchen,36
3219,Olly is too clear if you can turn off the light.,40
3220,I want to play a quiz on general knowledge.,51
3221,Reply to the email that I will write to you.,33
3222,I want to listen to some music.,45
3223,A little bit of light,18
3224,Remove this post from my list.,53
3225,Press the coffee and make a filtered coffee in 10 minutes.,56
3226,Date and Time,0
3227,Meet Mr. Jan Zierbick tomorrow at the first afternoon after lunch.,50
3228,What is the best restaurant with chicken cakes?,19
3229,Meeting with Alcatel for Tomorrow,50
3230,What is the weather forecast today?,13
3231,List of nearby restaurants,19
3232,Every meeting between the sixth and the seventh afternoon,32
3233,Show me the weather in the area.,13
3234,Then play a song.,45
3235,All unread emails,44
3236,Olly What is the New Movie Swat Special Unit,55
3237,Information about atkinsone,49
3238,I want to start war and peace where I ended.,20
3239,Publish a message on Facebook,47
3240,Or you had a good day.,12
3241,Remembrance,50
3242,Are there any accidents on the Gdansk Post Defenders Square?,11
3243,Write a conversation with a person on the day on the site,50
3244,Repeat all events in the calendar,30
3245,Leave me a little bit.,57
3246,Who is the best actress in the world in this century?,49
3247,Include my book,20
3248,How is the weather this week?,13
3249,What will be the highest temperature tomorrow?,13
3250,When Einstein’s Birthday,49
3251,Give me a jack.,17
3252,Take the smoker in the corridor.,34
3253,The team meetings are scheduled this month.,32
3254,Send me locations to the police office.,42
3255,How long will it take for me to get to the department taking into account the current steps,11
3256,Remove the speaker mode,14
3257,Alarm at 5am.,48
3258,Add football training on Saturday at 4 p.m.,50
3259,Register my budget meeting every Friday at the second.,50
3260,Can I order meals at this time?,16
3261,Remember my 14th meeting.,50
3262,Remote the alarm,52
3263,What the weather will be this week?,13
3264,Order me clothes,54
3265,Drink coffee at 6 a.m.,56
3266,Can you upload my last selfie on my instagram?,47
3267,How to make chicken from grill,9
3268,What is on my list of things to do?,59
3269,Send a mail to someone.,33
3270,Play back in black,45
3271,Change the light into blue.,1
3272,How many songs Michael Jackson wrote,49
3273,The nearby pizza hut imports in my neighborhood,3
3274,How many people live in Tajikistan,49
3275,How much time I have this week,32
